;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;30.0;4.0;30.0;11.0;6.0;1378.0;5.87
Neutral;1.0;0.0;1.0;1.0;0.0;106.0;2.83
Binary;1.0;0.0;0.0;0.0;1.0;212.0;0.94
Queer Identity;190.0;178.0;122.0;25.0;6.0;2226.0;23.4
Queer Orientation;230.0;217.0;138.0;29.0;3.0;1696.0;36.37
Queer Other;141.0;156.0;83.0;22.0;0.0;1272.0;31.6
Non Queer Identity;78.0;38.0;70.0;19.0;7.0;848.0;25.0
Non Queer Orientation;64.0;84.0;27.0;10.0;0.0;318.0;58.17
Non Queer Other;10.0;14.0;7.0;2.0;1.0;212.0;16.03
Queer;561.0;551.0;343.0;76.0;9.0;5194.0;29.64
Non Queer;152.0;136.0;104.0;31.0;8.0;1378.0;31.27
