;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;29.0;2.0;31.0;26.0;0.0;1378.0;6.38
Neutral;2.0;0.0;2.0;2.0;0.0;106.0;5.66
Binary;3.0;0.0;3.0;3.0;0.0;212.0;4.24
Queer Identity;72.0;88.0;39.0;25.0;6.0;2226.0;10.33
Queer Orientation;98.0;85.0;58.0;27.0;1.0;1696.0;15.86
Queer Other;40.0;45.0;27.0;11.0;0.0;1272.0;9.66
Non Queer Identity;25.0;17.0;19.0;13.0;0.0;848.0;8.72
Non Queer Orientation;21.0;35.0;8.0;8.0;0.0;318.0;22.64
Non Queer Other;6.0;5.0;2.0;1.0;1.0;212.0;7.07
Queer;210.0;218.0;124.0;63.0;7.0;5194.0;11.97
Non Queer;52.0;57.0;29.0;22.0;1.0;1378.0;11.68
