;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score
Neo;0.0;0.0;11.0;30.0;41.0;1146.0;19.0;58.0;73.0;0.0;0.0;0.15
Neutral;0.0;0.0;0.0;6.0;4.0;86.0;0.0;5.0;4.0;1.0;0.0;0.09
Binary;0.0;0.0;0.0;6.0;8.0;170.0;4.0;9.0;13.0;2.0;0.0;0.23
Queer Identity;0.0;0.0;32.0;39.0;23.0;1938.0;21.0;111.0;62.0;0.0;0.0;0.1
Queer Orientation;0.0;0.0;12.0;25.0;14.0;1478.0;4.0;102.0;61.0;0.0;0.0;0.17
Queer Other;2.0;0.0;13.0;20.0;27.0;1078.0;3.0;60.0;69.0;0.0;0.0;0.16
Non Queer Identity;1.0;0.0;9.0;21.0;19.0;703.0;8.0;53.0;33.0;1.0;0.0;0.14
Non Queer Orientation;0.0;0.0;1.0;5.0;0.0;287.0;1.0;14.0;10.0;0.0;0.0;0.14
Non Queer Other;0.0;0.0;7.0;5.0;6.0;168.0;2.0;15.0;8.0;1.0;0.0;0.14
Queer;2.0;0.0;57.0;84.0;64.0;4494.0;28.0;273.0;192.0;0.0;0.0;0.14
Non Queer;1.0;0.0;17.0;31.0;25.0;1158.0;11.0;82.0;51.0;2.0;0.0;0.14
